order,kernel.name,putative,field_check_status,name,class,EHornot
1,01H_1,haploid,NA,lw75,DHL,0
2,01H_2,haploid,单倍体,lw75,DHL,0
3,01H_3,haploid,单倍体,lw75,DHL,0
4,01H_4,haploid,单倍体,lw75,DHL,0
5,01H_5,haploid,NA,lw75,DHL,0
6,01H_6,haploid,单倍体,lw75,DHL,0
7,01H_7,haploid,单倍体,lw75,DHL,0
8,01H_8,haploid,单倍体,lw75,DHL,0
9,01H_9,haploid,NA,lw75,DHL,0
10,01H_10,haploid,单倍体,lw75,DHL,0
11,01H_11,haploid,NA,lw75,DHL,0
12,01H_12,haploid,NA,lw75,DHL,0
13,01H_13,haploid,单倍体,lw75,DHL,0
14,01H_14,haploid,单倍体,lw75,DHL,0
15,01H_15,haploid,NA,lw75,DHL,0
16,01H_16,haploid,单倍体,lw75,DHL,1
17,01H_17,haploid,单倍体,lw75,DHL,0
18,01H_18,haploid,NA,lw75,DHL,0
19,01H_19,haploid,NA,lw75,DHL,0
20,01H_20,haploid,NA,lw75,DHL,0
21,01H_21,haploid,NA,lw75,DHL,0
22,01H_22,haploid,单倍体,lw75,DHL,0
23,01H_23,haploid,NA,lw75,DHL,0
24,01H_24,haploid,单倍体,lw75,DHL,0
25,01H_25,haploid,单倍体,lw75,DHL,0
26,01H_26,haploid,NA,lw75,DHL,0
27,01H_27,haploid,NA,lw75,DHL,0
28,01H_28,haploid,单倍体,lw75,DHL,0
29,01H_29,haploid,单倍体,lw75,DHL,0
30,01H_30,haploid,单倍体,lw75,DHL,0
31,01H_31,haploid,单倍体,lw80,DHL,999
32,01H_32,haploid,单倍体,lw80,DHL,999
33,01H_33,haploid,单倍体,lw80,DHL,999
34,01H_34,haploid,单倍体,lw80,DHL,999
35,01H_35,haploid,单倍体,lw80,DHL,999
36,01H_36,haploid,单倍体,lw80,DHL,999
37,01H_37,haploid,NA,lw80,DHL,999
38,01H_38,haploid,NA,lw80,DHL,999
39,01H_39,haploid,NA,lw80,DHL,999
40,01H_40,haploid,单倍体,lw80,DHL,999
41,01H_41,haploid,单倍体,lw80,DHL,999
42,01H_42,hybridcross,杂株,lw80,DHL,999
43,01H_43,haploid,NA,lw80,DHL,999
44,01H_44,haploid,单倍体,lw80,DHL,999
45,01H_45,haploid,NA,lw80,DHL,999
46,01H_46,hybridcross,杂株,lw80,DHL,999
47,01H_47,haploid,NA,lw80,DHL,999
48,01H_48,haploid,单倍体,lw80,DHL,999
49,01H_49,haploid,单倍体,lw80,DHL,999
50,01H_50,hybridcross,杂株,lw80,DHL,999
51,01H_51,haploid,单倍体,lw80,DHL,999
52,01H_52,haploid,单倍体,lw80,DHL,999
53,01H_53,haploid,单倍体,lw80,DHL,999
54,01H_54,haploid,单倍体,lw80,DHL,999
55,01H_55,haploid,单倍体,lw80,DHL,999
56,01H_56,haploid,NA,lw80,DHL,999
57,01H_57,haploid,单倍体,lw80,DHL,999
58,01H_58,haploid,NA,lw80,DHL,999
59,01H_59,haploid,单倍体,lw80,DHL,999
60,01H_60,haploid,单倍体,lw80,DHL,999
61,01H_61,haploid,NA,lw70,DHL,999
62,01H_62,haploid,NA,lw70,DHL,999
63,01H_63,haploid,单倍体,lw70,DHL,999
64,01H_64,haploid,NA,lw70,DHL,999
65,01H_65,haploid,单倍体,lw70,DHL,999
66,01H_66,haploid,NA,lw70,DHL,999
67,01H_67,haploid,单倍体,lw70,DHL,999
68,01H_68,haploid,单倍体,lw70,DHL,999
69,01H_69,haploid,单倍体,lw70,DHL,999
70,01H_70,haploid,NA,lw70,DHL,999
71,01H_71,haploid,NA,lw70,DHL,999
72,01H_72,haploid,单倍体,lw70,DHL,999
73,01H_73,haploid,单倍体,lw70,DHL,999
74,01H_74,haploid,单倍体,lw70,DHL,999
75,01H_75,haploid,单倍体,lw70,DHL,999
76,01H_76,haploid,单倍体,lw70,DHL,999
77,01H_77,haploid,单倍体,lw70,DHL,999
78,01H_78,haploid,单倍体,lw70,DHL,999
79,01H_79,haploid,NA,lw70,DHL,999
80,01H_80,haploid,NA,lw70,DHL,999
81,01H_81,haploid,单倍体,lw70,DHL,999
82,01H_82,haploid,单倍体,lw70,DHL,999
83,01H_83,haploid,单倍体,lw70,DHL,999
84,01H_84,haploid,NA,lw70,DHL,999
85,01H_85,haploid,NA,lw70,DHL,999
86,01H_86,haploid,单倍体,lw70,DHL,999
87,01H_87,haploid,NA,lw70,DHL,999
88,01H_88,haploid,NA,lw70,DHL,999
89,01H_89,haploid,单倍体,lw70,DHL,999
90,01H_90,haploid,单倍体,lw70,DHL,999
91,01H_91,haploid,单倍体,lw139,DHL,0
92,01H_92,haploid,单倍体,lw139,DHL,0
93,01H_93,haploid,单倍体,lw139,DHL,0
94,01H_94,haploid,NA,lw139,DHL,0
95,01H_95,haploid,单倍体,lw139,DHL,0
96,01H_96,hybridcross,杂株,lw139,DHL,0
97,01H_97,haploid,NA,lw139,DHL,0
98,01H_98,haploid,单倍体,lw139,DHL,0
99,01H_99,haploid,NA,lw139,DHL,0
100,01H_100,haploid,单倍体,lw139,DHL,0
101,02H_1,haploid,NA,lw139,DHL,0
102,02H_2,haploid,单倍体,lw139,DHL,0
103,02H_3,haploid,NA,lw139,DHL,0
104,02H_4,haploid,单倍体,lw139,DHL,1
105,02H_5,haploid,NA,lw139,DHL,0
106,02H_6,haploid,单倍体,lw139,DHL,0
107,02H_7,haploid,NA,lw139,DHL,0
108,02H_8,haploid,单倍体,lw139,DHL,0
109,02H_9,haploid,单倍体,lw139,DHL,0
110,02H_10,haploid,单倍体,lw139,DHL,0
111,02H_11,haploid,NA,lw139,DHL,0
112,02H_12,haploid,NA,lw139,DHL,0
113,02H_13,haploid,NA,lw139,DHL,0
114,02H_14,haploid,NA,lw139,DHL,0
115,02H_15,haploid,单倍体,lw139,DHL,0
116,02H_16,haploid,NA,lw139,DHL,0
117,02H_17,haploid,NA,lw139,DHL,0
118,02H_18,haploid,单倍体,lw139,DHL,0
119,02H_19,haploid,NA,lw139,DHL,0
120,02H_20,haploid,单倍体,lw139,DHL,0
121,02H_21,haploid,NA,lw130,DHL,999
122,02H_22,haploid,NA,lw130,DHL,999
123,02H_23,haploid,NA,lw130,DHL,999
124,02H_24,haploid,单倍体,lw130,DHL,999
125,02H_25,haploid,单倍体,lw130,DHL,999
126,02H_26,haploid,单倍体,lw130,DHL,999
127,02H_27,haploid,单倍体,lw130,DHL,999
128,02H_28,haploid,单倍体,lw130,DHL,999
129,02H_29,haploid,单倍体,lw130,DHL,999
130,02H_30,haploid,单倍体,lw130,DHL,999
131,02H_31,haploid,单倍体,lw130,DHL,999
132,02H_32,haploid,单倍体,lw130,DHL,999
133,02H_33,haploid,单倍体,lw130,DHL,999
134,02H_34,haploid,NA,lw130,DHL,999
135,02H_35,haploid,NA,lw130,DHL,999
136,02H_36,haploid,单倍体,lw130,DHL,999
137,02H_37,haploid,单倍体,lw130,DHL,999
138,02H_38,haploid,单倍体,lw130,DHL,999
139,02H_39,haploid,NA,lw130,DHL,999
140,02H_40,haploid,NA,lw130,DHL,999
141,02H_41,haploid,单倍体,lw130,DHL,999
142,02H_42,haploid,NA,lw130,DHL,999
143,02H_43,haploid,NA,lw130,DHL,999
144,02H_44,haploid,NA,lw130,DHL,999
145,02H_45,haploid,单倍体,lw130,DHL,999
146,02H_46,haploid,单倍体,lw130,DHL,999
147,02H_47,haploid,单倍体,lw130,DHL,999
148,02H_48,haploid,NA,lw130,DHL,999
149,02H_49,haploid,NA,lw130,DHL,999
150,02H_50,haploid,NA,lw130,DHL,999
151,02H_51,haploid,NA,lw120,DHL,999
152,02H_52,haploid,NA,lw120,DHL,999
153,02H_53,haploid,单倍体,lw120,DHL,999
154,02H_54,haploid,单倍体,lw120,DHL,999
155,02H_55,haploid,单倍体,lw120,DHL,999
156,02H_56,haploid,单倍体,lw120,DHL,999
157,02H_57,haploid,单倍体,lw120,DHL,999
158,02H_58,haploid,单倍体,lw120,DHL,999
159,02H_59,haploid,NA,lw120,DHL,999
160,02H_60,haploid,单倍体,lw120,DHL,999
161,02H_61,haploid,NA,lw120,DHL,999
162,02H_62,haploid,NA,lw120,DHL,999
163,02H_63,haploid,单倍体,lw120,DHL,999
164,02H_64,haploid,单倍体,lw120,DHL,999
165,02H_65,haploid,单倍体,lw120,DHL,999
166,02H_66,haploid,NA,lw120,DHL,999
167,02H_67,haploid,NA,lw120,DHL,999
168,02H_68,haploid,单倍体,lw120,DHL,999
169,02H_69,haploid,单倍体,lw120,DHL,999
