kernel.name,OC
H01,3.7822
H02,3.5582
H03,3.427
H04,3.7146
H05,1.6549
H06,4.0875
H07,3.7059
H08,3.8409
H09,3.9114
H10,3.6807
H11,0.6332
H12,1.2394
H13,1.1753
H14,2.119
H15,1.2805
H16,1.3699
H17,1.5516
H18,2.3548
H19,0
H20,0
H21,4.1214
H22,4.2312
H23,4.5296
H24,4.227
H25,4.3371
H26,3.785
H27,4.3234
H28,4.3868
H29,3.958
H30,4.1493
H31,3.795
H32,1.1807
H33,3.6364
H34,3.7877
H35,3.8813
H36,3.8862
H37,3.9753
H38,3.73
H39,3.8987
H40,3.6535
H41,3.8143
H42,3.965
H43,3.6313
H44,3.6018
H45,3.7713
H46,3.6045
H47,3.7948
H48,4.0116
H49,3.8483
H50,3.5616
H51,3.3778
H52,3.4591
H53,3.2565
H54,3.7376
H55,2.7193
H56,3.0869
H57,2.5656
H58,3.8013
H59,3.6178
H60,3.5627
H61,3.2634
H62,3.2449
H63,2.9705
H64,2.8821
H65,2.9058
H66,2.8834
H67,2.6492
H68,2.8676
H69,2.7699
H70,3.0492
H71,4.307
H72,4.3796
H73,4.4212
H74,4.3066
H75,4.1015
H76,3.9448
H77,4.2361
H78,4.3089
H79,4.1875
H80,3.9677
H81,3.1263
H82,3.1245
H83,3.2555
H84,3.1534
H85,3.0534
H86,3.3606
H87,3.0194
H88,2.808
H89,3.1395
H90,3.1287
H91,3.3194
H92,3.91
H93,3.6323
H94,4.0419
H95,3.6563
H96,3.7633
H97,3.8624
H98,4.0133
H99,3.8973
H100,4.0387
H101,3.4983
H102,4.024
H103,3.8517
H104,3.864
H105,3.8749
H106,4.0188
H107,3.7051
H108,3.2316
H109,3.8391
H110,3.9626
H111,4.7167
H112,4.448
H113,4.7447
H114,4.7037
H115,4.7138
H116,4.3483
H117,4.6292
H118,4.4249
H119,4.1201
H120,4.4727
H121,3.5032
H122,3.3963
H123,3.823
H124,3.5561
H125,3.3278
H126,3.4756
H127,3.3507
H128,3.3369
H129,3.3592
H130,3.6017
H131,4.0968
H132,4.138
H133,3.9397
H134,4.217
H135,4.524
H136,3.8415
H137,4.2813
H138,4.0192
H139,4.0253
H140,4.1657
H141,3.0644
H142,3.2194
H143,2.9958
H144,3.2067
H145,3.0481
H146,3.3624
H147,2.766
H148,3.243
H149,3.3782
H150,3.1026
H151,2.7269
H152,2.7322
H153,2.3747
H154,2.6664
H155,2.6182
H156,2.6759
H157,2.3579
H158,2.8179
H159,3.0171
H160,2.5749
H161,4.2719
H162,4.3885
H163,4.0771
H164,4.1321
H165,3.8651
H166,4.2704
H167,3.879
H168,3.9203
H169,4.2008
H170,4.0796
H171,4.1531
H172,4.4579
H173,4.289
H174,3.8389
H175,4.3482
H176,3.9173
H177,3.7796
H178,3.6864
H179,4.1015
H180,4.4441
H181,3.0808
H182,3.4792
H183,3.4973
H184,3.5419
H185,3.6182
H186,3.3378
H187,3.5654
H188,3.1686
H189,3.2488
H190,3.1665
H191,2.6041
H192,2.3564
H193,2.9478
H194,1.7115
H195,2.7696
H196,1.7931
H197,2.497
H198,3.1549
H199,2.7368
H200,2.6707
H201,3.4805
H202,3.2388
H203,2.8639
H204,3.2573
H205,3.2148
H206,3.2865
H207,3.5438
H208,3.1679
H209,3.443
H210,3.387
H211,3.7645
H212,3.9316
H213,4.0513
H214,3.8953
H215,3.8954
H216,3.8747
H217,4.3006
H218,4.2709
H219,3.8829
H220,4.0315
H221,3.814
H222,4.1513
H223,4.4799
H224,4.4074
H225,4.8717
H226,4.5867
H227,4.6566
H228,4.6638
H229,4.5694
H230,3.0632
H231,2.9182
H232,3.1982
H233,2.8865
H234,1.7394
H235,2.8539
H236,2.7528
H237,1.9872
H238,2.8976
H239,2.9707
H240,2.9801
H241,2.7992
H242,3.0783
H243,2.9035
H244,2.7889
H245,3.4016
H246,3.113
H247,2.8526
H248,3.106
H249,3.0359
H250,3.0703
H251,2.8245
H252,3.039
H253,2.9147
H254,2.8595
H255,3.1828
H256,2.9834
H257,3.0264
H258,2.6592
H259,2.9674
H260,2.7447
H261,3.1879
H262,2.9509
H263,2.9827
H264,3.1194
H265,3.1281
H266,2.8881
H267,2.7152
H268,3.0549
H269,2.9236
H270,3.0052
H271,3.8036
H272,4.128
H273,3.5544
H274,3.6606
H275,3.6823
H276,3.6836
H277,3.7225
H278,3.724
H279,3.7081
H280,3.8179
H281,4.1796
H282,3.8731
H283,3.5197
H284,3.6729
H285,3.6794
H286,3.6707
H287,3.7277
H288,3.7701
H289,3.5076
H290,3.8667
H291,3.8401
H292,4.1243
H293,3.927
H294,3.7908
H295,4.1426
H296,3.7559
H297,3.5812
H298,4.0369
H299,3.7071
H300,3.8686
H301,3.0401
H302,3.1178
H303,2.9076
H304,3.137
H305,2.8
H306,2.8922
H307,2.0299
H308,2.8488
H309,3.0561
H310,2.0737
H311,3.6496
H312,4.0152
H313,3.8755
H314,3.6624
H315,3.5716
H316,3.727
H317,3.8069
H318,3.5924
H319,3.8808
