geno,location,replication,block,plot,individual,haploid,emb,crossed_seed,HIR,EmbR
GLW62,Shunyi,1,2,10,4,5,74,36,12.19512195,NA
GLW109,Shunyi,2,3,14,7,9,61,60,13.04347826,NA
GLW91,SJZ,1,2,30,4,10,50,71,12.34567901,NA
GLW126,Shunyi,1,3,15,4,4,17,32,11.11111111,NA
GLW31,Shunyi,1,1,26,1,5,19,46,9.803921569,NA
GLW126,Hainan,1,2,8,1,1,13,37,NA,NA
GLW97,SJZ,1,2,36,5,12,21,56,17.64705882,NA
GLW62,SJZ,2,2,13,1,9,20,56,NA,NA
GLW55,SJZ,2,2,7,5,3,11,33,8.333333333,NA
GLW82,SJZ,2,2,26,2,4,11,32,11.11111111,NA
GLW31,Shunyi,1,1,26,2,7,21,62,10.14492754,NA
GLW126,SJZ,2,3,9,1,3,12,37,NA,NA
GLW126,Hainan,2,2,26,2,6,13,38,13.63636364,NA
GLW126,SJZ,2,3,9,4,13,18,49,20.96774194,NA
GLW42,SJZ,2,1,40,2,5,12,37,11.9047619,NA
GLW65,SJZ,2,2,15,5,6,13,41,12.76595745,NA
GLW6,Jinan,2,1,10,2,15,17,52,22.3880597,NA
GLW126,Shunyi,1,3,15,3,5,14,52,8.771929825,NA
GLW83,SJZ,2,2,27,2,11,11,34,NA,NA
GLW89,Jinan,1,2,31,3,6,10,35,14.63414634,NA
GLW49,SJZ,2,2,2,2,1,10,40,2.43902439,NA
GLW109,Shunyi,2,3,14,1,7,30,117,5.64516129,NA
GLW150,SJZ,1,3,34,9,9,15,54,14.28571429,NA
GLW126,Shunyi,2,3,27,2,11,20,74,12.94117647,NA
GLW13,Jinan,1,1,11,3,12,11,35,NA,NA
GLW6,Jinan,2,1,10,1,6,11,42,12.5,NA
GLW5,Hainan,1,2,29,1,13,26,102,11.30434783,NA
GLW56,Jinan,1,2,6,2,10,14,53,15.87301587,NA
GLW96,SJZ,1,2,35,2,8,11,42,16,NA
GLW5,Hainan,2,2,2,2,6,12,51,10.52631579,17.39130435
GLW97,SJZ,1,2,36,1,4,10,44,8.333333333,17.24137931
GLW97,Shunyi,2,3,2,7,7,12,51,12.06896552,17.14285714
GLW124,SJZ,1,3,15,1,3,7,31,8.823529412,17.07317073
GLW109,Hainan,1,2,5,1,17,26,111,13.28125,16.88311688
GLW53,Hainan,1,1,24,1,3,7,32,8.571428571,16.66666667
GLW6,Hainan,1,1,25,2,4,7,31,11.42857143,16.66666667
GLW16,Shunyi,1,1,12,8,23,21,85,21.2962963,16.27906977
GLW97,SJZ,2,2,35,6,10,9,37,21.27659574,16.07142857
GLW61,Jinan,2,2,18,1,15,13,53,NA,16.04938272
GLW17,Jinan,1,1,14,1,7,8,35,16.66666667,16
GLW126,SJZ,2,3,9,2,6,7,31,16.21621622,15.90909091
GLW41,Shunyi,1,1,35,2,15,24,113,11.71875,15.78947368
GLW121,Jinan,2,3,8,2,7,8,36,16.27906977,15.68627451
